Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.01E01	1.63E-01	NaN	CASP1,DDX58,EIF2AK2,IFIH1,IFNB1,IL12A,IL12B,IL15,IL1A,IL2,IL6,OAS1,Oas1b,Oas1d (includes others),OAS2,OAS3,PIK3CG,PRKCH,PRKCZ,RIPK2,TNF,TNFSF14,TNFSF8	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	9.05E00	1.18E-01	NaN	AKT3,BCL2,CCND3,IFIH1,IFIT2,IFIT3,IFNB1,IL12A,IL12B,IL15,IL1A,IL2,IL6,ISG15,ISG20,MYC,PAG1,PIK3CG,PRKCH,PRKCZ,RAP2B,RASD1,SRC,STAT1,STAT2,TNF,TNFSF14,TNFSF8,YES1	
Interferon Signaling	6.53E00	2.9E-01	NaN	BCL2,IFIT1,IFIT3,IFNB1,IRF1,ISG15,OAS1,STAT1,STAT2	
Role of Cytokines in Mediating Communication between Immune Cells	5.82E00	2.43E-01	NaN	IFNB1,IL12A,IL12B,IL15,IL1A,IL2,IL27,IL6,TNF	
T Cell Exhaustion Signaling Pathway	5.61E00	1.19E-01	NaN	AKT3,CD274,CTLA4,HAVCR2,HLA-A,HLA-E,HLA-F,IL12A,IL12B,IL6,PIK3CG,RAP2B,RASD1,SMAD3,STAT1,STAT2,TGFBR1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.4E00	1.92E-01	NaN	DDX58,IFIH1,IFIT2,IFNB1,IL6,ISG15,STAT1,STAT2,TNF,ZBP1	
Dendritic Cell Maturation	4.98E00	1.07E-01	NaN	AKT3,HLA-A,HLA-E,HLA-F,IFNB1,IL12A,IL12B,IL15,IL1A,IL6,IRF8,MAPK11,PIK3CG,PLCB4,STAT1,STAT2,TNF	
IL-12 Signaling and Production in Macrophages	4.89E00	1.23E-01	NaN	AKT3,APOD,IL12A,IL12B,IRF1,IRF8,LYZ,MAPK11,PIK3CG,PPARG,PRKCH,PRKCZ,STAT1,TNF	
Communication between Innate and Adaptive Immune Cells	4.75E00	1.49E-01	NaN	HLA-A,HLA-E,HLA-F,IFNB1,IL12A,IL12B,IL15,IL1A,IL2,IL6,TNF	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	4.73E00	2.5E-01	NaN	IFNB1,IL12A,IL12B,IL15,IL1A,IL6,TNF	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.27E00	1.45E-01	NaN	HLA-A,HLA-E,HLA-F,IFNB1,IL12A,IL12B,IL15,IL2,IL6,TNF	
Neuroinflammation Signaling Pathway	4.24E00	8E-02	NaN	AKT3,BCL2,CASP1,CD200,CD200R1,CFLAR,CYBB,HLA-A,HLA-E,HLA-F,IFNB1,IL12A,IL12B,IL6,MAPK11,Naip1 (includes others),PIK3CG,PLA2G5,SLC1A3,STAT1,TGFBR1,TNF	
IL-15 Production	4.2E00	1.13E-01	NaN	AXL,CSF2RA,FLT4,IFNB1,IL15,IL6,IRF1,ITK,PRKCZ,SRC,STAT1,TEC,YES1	
Type I Diabetes Mellitus Signaling	4.09E00	1.18E-01	NaN	BCL2,HLA-A,HLA-E,HLA-F,IL12A,IL12B,IL1RAP,IL2,IRF1,MAPK11,STAT1,TNF	
Cdc42 Signaling	4.06E00	1.04E-01	NaN	ARHGEF6,CDC42BPA,CLIP1,EXOC1,H2-M5,H2-T10,H2-T24,HLA-A,HLA-E,HLA-F,ITK,MAPK11,PRKCZ,SRC	
HMGB1 Signaling	4.03E00	9.8E-02	NaN	AKT3,IL12A,IL12B,IL15,IL1A,IL2,IL6,MAPK11,PIK3CG,PLAT,RAP2B,RASD1,TNF,TNFSF14,TNFSF8	
Hepatic Cholestasis	3.93E00	9.2E-02	NaN	ABCC3,CYP27A1,CYP8B1,IL12A,IL12B,IL15,IL1A,IL1R2,IL1RAP,IL2,IL6,PRKCH,PRKCZ,TNF,TNFSF14,TNFSF8	
Th1 Pathway	3.85E00	1.11E-01	NaN	CD274,DLL1,HAVCR2,HLA-A,IL12A,IL12B,IL2,IL27,IL6,IRF1,PIK3CG,STAT1	
PD-1, PD-L1 cancer immunotherapy pathway	3.82E00	1.18E-01	NaN	AKT3,CD274,HLA-A,HLA-E,HLA-F,IL12A,IL12B,IL2,PIK3CG,SMAD3,TNF	
Graft-versus-Host Disease Signaling	3.82E00	1.84E-01	NaN	HLA-A,HLA-E,HLA-F,IL1A,IL2,IL6,TNF	
Endothelin-1 Signaling	3.73E00	8.84E-02	NaN	CASP1,ECE2,ITPR1,ITPR2,MAPK11,MYC,PIK3CG,PLA2G5,PLCB4,PRKCH,PRKCZ,PTGER2,PTGS1,RAP2B,RASD1,SRC	
p38 MAPK Signaling	3.7E00	1.07E-01	NaN	DAXX,DDIT3,IL1A,IL1R2,IL1RAP,MAPK11,MAX,MYC,PLA2G5,STAT1,TGFBR1,TNF	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.63E00	1.22E-01	NaN	CSF1,CXCL13,HLA-A,IL12A,IL12B,IL15,IL1A,IL2,IL6,TNF	
Th1 and Th2 Activation Pathway	3.46E00	9.09E-02	NaN	CD274,CXCR4,DLL1,HAVCR2,HLA-A,IL12A,IL12B,IL2,IL27,IL6,IRF1,PIK3CG,STAT1,TGFBR1	
Allograft Rejection Signaling	3.43E00	1.4E-01	NaN	H2-M5,H2-T10,H2-T24,HLA-A,HLA-E,HLA-F,IL2,TNF	
