© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Human Embryonic Stem Cell Pluripotency	3.53E00	3.79E-02	NaN	KLK3,MRAS,NTF4,SMO,WNT6	
Complement System	3.39E00	9.09E-02	NaN	C1QA,C1QB,C1QC	
Axonal Guidance Signaling	2.99E00	1.72E-02	NaN	EFNA1,EPHB4,ERBB2,MRAS,NTF4,SEMA3F,SMO,WNT6	
IL-15 Production	2.78E00	3.48E-02	NaN	CSF1R,DDR1,EPHB4,ERBB2	
Sperm Motility	2.62E00	2.37E-02	NaN	CSF1R,DDR1,EPHB4,ERBB2,MRAS	
Ovarian Cancer Signaling	2.5E00	2.92E-02	NaN	FGF9,MRAS,SMO,WNT6	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.46E00	2.84E-02	NaN	C1QA,C1QB,C1QC,TLR4	
TREM1 Signaling	2.46E00	4.35E-02	NaN	IL1RL1,TLR4,TYROBP	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.46E00	4.35E-02	NaN	TLN2,TLR4,TYROBP	
Neurotrophin/TRK Signaling	2.35E00	4E-02	NaN	KLK3,MRAS,NTF4	
Thyroid Cancer Signaling	2.32E00	3.9E-02	NaN	KLK3,MRAS,NTF4	
Bladder Cancer Signaling	2.07E00	3.16E-02	NaN	ERBB2,FGF9,MRAS	
Regulation of the Epithelial-Mesenchymal Transition Pathway	2E00	2.11E-02	NaN	FGF9,MRAS,SMO,WNT6	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.97E00	1.66E-02	NaN	IL1RL1,MRAS,SMO,TLR4,WNT6	
LXR/RXR Activation	1.9E00	2.73E-02	NaN	IL1RL1,SERPINF2,TLR4	
L-serine Degradation	1.88E00	3.33E-01	NaN	SDSL	
Actin Cytoskeleton Signaling	1.86E00	1.91E-02	NaN	ARHGEF4,FGF9,MRAS,TLN2	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.84E00	1.88E-02	NaN	CSF1R,IL1RL1,SMO,WNT6	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.82E00	2.56E-02	NaN	MRAS,SMO,WNT6	
Cardiac Hypertrophy Signaling (Enhanced)	1.76E00	1.28E-02	NaN	FGF9,IL1RL1,MAPKAPK3,MRAS,SMO,WNT6	
Hepatic Fibrosis Signaling Pathway	1.7E00	1.41E-02	NaN	IL1RL1,MRAS,SMO,TLR4,WNT6	
Protein Citrullination	1.66E00	2E-01	NaN	PADI2	
Colorectal Cancer Metastasis Signaling	1.63E00	1.63E-02	NaN	MRAS,SMO,TLR4,WNT6	
MSP-RON Signaling Pathway	1.61E00	3.64E-02	NaN	KLK3,TLR4	
Endometrial Cancer Signaling	1.54E00	3.33E-02	NaN	ERBB2,MRAS	
PCP pathway	1.54E00	3.33E-02	NaN	SMO,WNT6	
HOTAIR Regulatory Pathway	1.51E00	1.95E-02	NaN	ERBB2,TLR4,WNT6	
Regulation of Cellular Mechanics by Calpain Protease	1.5E00	3.17E-02	NaN	MRAS,TLN2	
ErbB2-ErbB3 Signaling	1.49E00	3.12E-02	NaN	ERBB2,MRAS	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	1.48E00	3.08E-02	NaN	SMO,WNT6	
Neuroinflammation Signaling Pathway	1.48E00	1.45E-02	NaN	CSF1R,KLK3,TLR4,TYROBP	
Glioblastoma Multiforme Signaling	1.46E00	1.85E-02	NaN	MRAS,SMO,WNT6	
Basal Cell Carcinoma Signaling	1.43E00	2.9E-02	NaN	SMO,WNT6	
Breast Cancer Regulation by Stathmin1	1.42E00	1.06E-02	NaN	ADGRE1,ADORA3,ARHGEF4,MRAS,PTGIR,SMO	
Ephrin B Signaling	1.41E00	2.82E-02	NaN	EPHB4,MRAS	
Toll-like Receptor Signaling	1.4E00	2.78E-02	NaN	IL1RL1,TLR4	
RhoGDI Signaling	1.39E00	1.73E-02	NaN	ARHGDIG,ARHGEF4,MRAS	
Non-Small Cell Lung Cancer Signaling	1.39E00	2.74E-02	NaN	ERBB2,MRAS	
Communication between Innate and Adaptive Immune Cells	1.37E00	2.7E-02	NaN	Ccl9,TLR4	
BEX2 Signaling Pathway	1.37E00	2.7E-02	NaN	ERBB2,KLK3	
Calcium Transport I	1.36E00	1E-01	NaN	ATP2B4	
