Geneid	Crtl_0h_R2	Crtl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3	Emp_CpG_6h_R1	Emp_CpG_6h_R2	Emp_Uns_R1	Emp_Uns_R2	NCoR1_CpG_6h_R1	NCoR1_CpG_6h_R2	NCoR1_Uns_R1	NCoR1_Uns_R2
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	855	912	597	694	798	794	700	869	695	715	1052	805	1229	1855	2018	1607	1413	1277	2963	1606
Lypla1	1674	1809	1156	1494	1271	1013	1473	1702	1109	1219	1226	965	1114	1730	2724	2083	1322	1418	3566	1943
Tcea1	2517	2895	1650	2258	1999	1687	2617	2825	2053	2169	2608	1795	1899	2652	3858	3353	2562	2597	5805	3299
Rgs20	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
Atp6v1h	1793	1703	1284	1420	1837	1597	1335	1695	1403	1475	1857	1316	2036	2809	2493	1897	2206	2018	5051	3337
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	762	905	464	580	729	564	772	916	618	685	641	466	631	728	1196	722	1008	1074	2199	1143
Fam150a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St18	0	0	1	1	6	4	0	1	0	3	3	10	1	5	0	0	38	36	8	2
Pcmtd1	320	489	111	222	167	157	500	551	229	343	299	229	153	163	785	351	198	203	842	449
Sntg1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0
Rrs1	1322	1316	1229	1181	1086	1340	953	1044	1170	955	1289	1412	1613	2176	2228	1704	2500	1635	4098	2420
Adhfe1	1	4	3	0	1	2	12	6	4	2	10	0	3	2	5	2	3	4	3	3
2610203C22Rik	0	0	0	0	2	0	7	21	13	14	1	1	0	1	9	2	0	0	2	1
3110035E14Rik	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0
Mybl1	180	344	157	232	202	130	475	474	349	301	193	115	162	137	463	145	249	227	736	303
Vcpip1	2194	2333	1952	1561	2057	1755	2445	2764	2945	2012	3960	2768	2127	2915	3196	2184	4263	3709	4669	2443
1700034P13Rik	0	4	4	1	1	2	1	1	0	0	1	1	5	5	4	3	4	2	3	0
Sgk3	940	1102	405	558	2500	2142	1292	1562	682	717	3210	2236	3338	4334	2798	1552	2683	2569	2651	1472
Mcmdc2	1	2	0	0	16	18	3	6	3	2	25	13	35	6	13	1	19	8	8	2
Snhg6	345	400	264	325	311	354	284	331	236	243	314	293	306	440	890	460	640	590	1370	887
Snord87	0	1	3	7	4	7	2	1	2	3	3	4	3	0	9	2	4	0	10	2
Tcf24	260	249	132	127	78	65	341	435	149	168	177	145	105	175	874	540	174	148	1936	818
Ppp1r42	1	1	0	2	1	0	1	1	1	0	0	1	2	0	3	0	0	0	7	1
