Geneid	Ctrl_0h_R2	Ctrl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	855	912	597	694	798	794	700	869	695	715	1052	805
Lypla1	1674	1809	1156	1494	1271	1013	1473	1702	1109	1219	1226	965
Tcea1	2517	2895	1650	2258	1999	1687	2617	2825	2053	2169	2608	1795
Rgs20	0	0	0	0	1	0	0	0	1	0	0	0
Atp6v1h	1793	1703	1284	1420	1837	1597	1335	1695	1403	1475	1857	1316
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	762	905	464	580	729	564	772	916	618	685	641	466
Fam150a	0	0	0	0	0	0	0	0	0	0	0	0
St18	0	0	1	1	6	4	0	1	0	3	3	10
Pcmtd1	320	489	111	222	167	157	500	551	229	343	299	229
Sntg1	0	0	0	0	0	0	0	1	0	0	0	0
Rrs1	1322	1316	1229	1181	1086	1340	953	1044	1170	955	1289	1412
Adhfe1	1	4	3	0	1	2	12	6	4	2	10	0
2610203C22Rik	0	0	0	0	2	0	7	21	13	14	1	1
3110035E14Rik	0	0	0	0	0	0	4	0	0	0	0	1
Mybl1	180	344	157	232	202	130	475	474	349	301	193	115
Vcpip1	2194	2333	1952	1561	2057	1755	2445	2764	2945	2012	3960	2768
1700034P13Rik	0	4	4	1	1	2	1	1	0	0	1	1
Sgk3	940	1102	405	558	2500	2142	1292	1562	682	717	3210	2236
Mcmdc2	1	2	0	0	16	18	3	6	3	2	25	13
Snhg6	345	400	264	325	311	354	284	331	236	243	314	293
Snord87	0	1	3	7	4	7	2	1	2	3	3	4
Tcf24	260	249	132	127	78	65	341	435	149	168	177	145
Ppp1r42	1	1	0	2	1	0	1	1	1	0	0	1
Cops5	2394	2391	1949	2268	2111	2089	2105	2540	2416	2380	2533	1932
Cspp1	363	488	205	227	370	330	475	550	341	308	394	280
Arfgef1	3150	3726	1953	2515	3008	2524	3163	3773	2683	2644	4037	3035
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0
Mir467e	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	0	1	0	0	0	0	1	1	0	0	0	0
A830018L16Rik	67	87	24	54	3	7	5	8	2	0	1	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	1	0	0	0	0	0
Sulf1	0	0	0	0	0	0	0	0	0	0	0	0
Slco5a1	0	0	0	0	3	0	0	0	0	1	0	0
Prdm14	0	0	0	0	0	0	1	0	0	0	1	0
Ncoa2	1746	1896	1169	1218	2172	1924	1626	2052	1371	1593	2468	2113
Tram1	4091	4213	2199	2952	1420	1227	4069	5125	2985	3386	1393	1101
Lactb2	241	317	126	146	261	173	270	331	160	191	261	180
Xkr9	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	7	4	4	3	3	3	4	2	1	3	1	2
Eya1	0	0	0	0	0	0	0	0	0	0	0	0
Msc	0	0	0	0	0	0	0	0	0	0	0	0
Trpa1	0	0	0	0	0	0	0	0	0	0	0	0
Kcnb2	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	387	428	219	283	330	252	407	391	293	265	315	203
Sbspon	1	0	0	0	0	0	0	1	0	0	2	3
4930444P10Rik	0	0	0	0	2	0	0	0	0	0	0	0
Rpl7	17068	16731	15199	17371	13920	14907	11023	14173	13548	14811	14046	11685
Rdh10	192	224	92	141	206	188	171	212	117	108	142	114
Stau2	78	89	58	62	91	75	187	230	178	179	335	252
Ube2w	623	761	371	476	585	421	1256	1310	671	643	1034	715
Tceb1	880	1056	804	1036	1164	975	947	1145	964	1068	1117	872
D030040B21Rik	0	0	0	0	0	0	0	1	0	0	0	0
Tmem70	717	766	467	532	661	628	783	966	534	520	764	617
Ly96	24	26	18	21	20	13	32	36	20	22	19	6
Jph1	0	0	0	0	0	0	24	15	24	20	13	16
Gdap1	0	1	0	0	0	1	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0
Gm15386	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	0	0	0	0	0	0	0	0	0	1	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Linc-md1	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	1	0	0	0	0	1	0	0	0	0
Mcm3	6669	7218	4343	5742	4271	5068	4897	6889	4285	5722	4459	4324
6720483E21Rik	0	0	0	0	0	0	0	0	0	0	0	0
Paqr8	5	4	2	6	14	23	6	12	11	25	4	1
Efhc1	2	0	0	0	4	0	1	2	1	2	2	1
Tram2	148	174	25	34	58	117	186	248	27	37	14	18
Tmem14a	1	1	1	1	0	1	8	3	3	3	2	0
Gsta3	0	0	0	0	0	0	0	0	0	0	0	0
Gm4956	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	1	0	0	0	0	0	0	0	0
Kcnq5	0	1	0	0	0	0	0	0	0	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	0
4933415F23Rik	0	0	0	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	717	819	282	333	394	344	997	1271	381	333	1372	1059
B3gat2	1	10	4	13	7	5	11	9	14	9	10	9
Smap1	577	655	455	508	351	384	636	788	664	728	621	442
Sdhaf4	62	75	30	55	46	43	71	98	53	79	69	42
Fam135a	132	187	94	66	77	51	637	769	423	410	401	313
Col9a1	0	0	0	0	0	0	0	0	0	0	0	0
Col19a1	0	0	0	0	0	0	0	0	0	0	1	0
Lmbrd1	644	669	410	497	370	357	926	1105	535	635	598	484
Adgrb3	0	0	0	0	0	0	0	0	0	0	0	0
Gm20172	0	0	0	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0	0	0
Phf3	1989	2204	1118	1359	1401	1308	1545	1992	1188	1398	1300	1017
Ptp4a1	95	120	74	88	88	76	69	76	75	62	98	62
Gm13363	0	0	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d3	0	0	0	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0	0	0	0	0	0	0
Prim2	824	884	551	815	461	465	695	873	581	729	477	416
1700001G17Rik	7	4	1	2	3	4	1	9	1	1	3	3
Rab23	198	273	132	173	188	167	204	262	183	163	175	149
Bag2	383	426	158	212	159	191	180	271	82	118	134	107
Zfp451	617	837	521	776	608	571	548	682	630	782	683	549
Gm15455	0	1	1	1	1	2	0	0	0	1	3	2
Bend6	96	64	107	72	77	86	135	161	156	170	146	132
Dst	2813	2546	2635	2240	5073	5851	1852	2325	1916	2208	3984	4586
Mir6896	0	0	0	0	0	0	0	0	0	0	0	0
