Gene	SMRT_0hr	NCoR1_0hr	SMRT_6hr_CpG	NCoR1_6hr_CpG	Clus
0610011F06Rik	-0.633150643092662	-1.14475568514986	-0.690660667841924	-0.746310442448839	Cluster6
1700009J07Rik	-0.741425913293806	0.514605300794855	-2.1216344975567	-0.911955181697362	Cluster6
1700113A16Rik	-1.12629976545593	-0.544574135545318	-1.00328018813783	-0.695393292246474	Cluster6
1810014B01Rik	-1.38977016765916	0.391876017636137	-1.61757195041047	-1.43020608956609	Cluster6
3300002I08Rik	-0.895495023325477	-1.1447737233467	-2.12385049634574	-1.75273468245391	Cluster6
8430419L09Rik	-0.159262285861726	0.0149414313632398	-0.630727729722621	-1.56874189619751	Cluster6
A430033K04Rik	0.074178429121351	-0.248165311146737	-0.640475877032706	-1.09453833006233	Cluster6
Abca3	-0.43608894304771	-1.43919333330433	0.730115861629938	-1.09033673380633	Cluster6
Abcb6	-1.03432904196241	0.142040449044729	-0.891940924761183	-0.730152530648855	Cluster6
Abcc8	-0.176827527342592	-2.09845868091548	-0.985183717484605	-2.27882819033298	Cluster6
Abcg3	-2.19647481039584	0.123195051929078	-2.27209614664229	-0.955954161674625	Cluster6
Abhd15	-2.10394064105298	-0.668197820839677	-1.69949249508207	-1.37976045523641	Cluster6
Ablim1	-1.36474424640676	-6.36705541481061	1.49529681706882	-4.4085226049543	Cluster6
Abtb2	-1.2858604281874	-2.30901949055061	-1.27892229497371	0.732766175615047	Cluster6
Acadvl	-1.0460972574239	-1.13362649573095	-0.469070432255565	-0.721798525121105	Cluster6
Acbd4	-0.565755543065331	-0.926731022708784	-1.13549182846595	-0.590679888284617	Cluster6
Acp2	-0.790180590265982	-0.972841676452709	-1.37823620925007	-2.13685060277968	Cluster6
Acrbp	-0.589799859590325	-0.0126215439883357	-1.0030999868544	-0.601031596509236	Cluster6
Adam15	-1.1933693438833	-0.884550885594963	-0.942955876654939	-1.42885417811795	Cluster6
Adcy6	-2.85074684112271	-3.65647912663034	-1.223177209521	-0.76744983044763	Cluster6
Adgrg5	0.00525216575627563	0.380721354658714	-0.684829966604344	-1.08908875026181	Cluster6
Adi1	-0.531010922817543	0.00990737470575242	-1.03432556783608	-0.60777150460011	Cluster6
Ahdc1	-1.71378389656089	-1.35913186274434	-1.86589741856665	-0.167181196627348	Cluster6
Ahnak	-2.20233691723715	0.648357753345141	-1.58259753798037	-0.998305021107485	Cluster6
Akap1	-1.22114118490018	-0.477893366419993	-0.65741897377554	-0.741423290842886	Cluster6
Aldh2	-0.729470848675388	-2.03247782085259	-0.856359070072981	-1.60786571754592	Cluster6
Angel1	-1.3848137248482	-1.84879697636537	-1.90488395421379	-1.952570693888	Cluster6
Ankrd13b	-2.30951853700316	-1.17743811724789	-1.22706448393827	-1.16335555460128	Cluster6
Ankrd28	-1.4095653624755	-0.274675948828255	-1.32689966635015	-0.786761887671324	Cluster6
Apcdd1	-0.413079002034052	-4.40919701761539	-0.643017479879832	-5.99911960897535	Cluster6
Apol10b	-0.814326646906659	-2.0192389102398	-0.402956574520711	-2.63446310446392	Cluster6
Arhgap19	-0.532337806727562	-0.334484208703977	-0.949104224733985	-1.11446257261157	Cluster6
Arhgap27	-0.476859615310452	-0.417092565645918	-1.20617888606224	-0.791891711866584	Cluster6
Arhgap4	-0.309795486069115	-0.222008988329247	-1.13520457426461	-1.06297919843038	Cluster6
Asap3	-1.14968834789771	-2.43062739700617	-0.797080839347689	0.040501511854424	Cluster6
B3gntl1	-0.255766530693724	-0.347012748387862	-0.809051292088353	-0.671977166827539	Cluster6
B4gat1	-0.867537579002896	-0.201765575322483	-0.946262868653838	-0.688624069313231	Cluster6
B930041F14Rik	-0.203345674211618	-0.883935925279897	-1.15586674604076	-0.770467538258589	Cluster6
Bank1	-0.367696655229002	-0.601390186743414	-1.99074521457322	-0.702057186263381	Cluster6
BC049715	-0.842919172498834	0.131574916274027	-0.759378114945624	-0.954382532105572	Cluster6
Bco2	-3.50262531762724	-2.58973088216213	-1.73527156676648	-2.81056149770993	Cluster6
Bik	-1.49029400366428	-2.14984634271121	-0.661563022332209	-0.849316313700913	Cluster6
Bin1	0.525559415041126	-0.178639214726982	-0.685270241491521	-1.37843508308546	Cluster6
Bivm	-0.500505509207036	0.22207771642582	-0.723247345288372	-0.628642979232067	Cluster6
Blmh	-0.981215295985522	-0.583743513936229	-1.0391134829151	-0.926199690932874	Cluster6
Blvra	-0.848918942050487	-0.333450982762864	-1.22712045924574	-0.645916266515378	Cluster6
Blvrb	-1.58777415301773	-0.848685472095923	-1.53720762692616	-1.87551404465817	Cluster6
C1ql4	0.0872412380537937	0.798324734313687	-1.69494075835819	-1.56956276492377	Cluster6
C3	-0.214046630141482	-1.61582613224477	-4.43619920097842	-0.585818793705479	Cluster6
C3ar1	-2.99001242698649	2.35841581346614	-0.525534359841215	-1.41185647711439	Cluster6
C4a	-0.13025547761056	-1.29140610953827	-2.67862333862112	0.659696731302434	Cluster6
Cables2	-0.595129590658665	-0.13190132930717	-0.764035768434541	-1.09361250403438	Cluster6
Cacng8	-0.165515323239019	-1.31968760429059	-0.980888745759663	-2.6923550877399	Cluster6
Camk1	-1.35650863398246	-1.34682144669234	-2.79469706914204	-1.05333966586601	Cluster6
Caprin2	-0.298564737973512	0.1936838131154	-1.39774115364899	-1.05861005254284	Cluster6
Casz1	-1.00712741119367	-0.968501772136889	-0.351961085412478	0.708208067523666	Cluster6
Cat	-0.680408458497155	0.0703043621619439	-1.13990498681933	-0.865308051533332	Cluster6
Cbs	-2.97834266424727	-0.929850816782424	-1.13513787641609	-0.661754372551839	Cluster6
Cbx4	-1.26361189117771	-0.782137833976968	-1.99910361046543	0.255057248181393	Cluster6
Cbx6	-0.805457962009839	-0.614954360928862	-1.06098027196787	-1.33747086093586	Cluster6
Ccbl2	-1.96166856570443	-1.13508151676396	-1.13082785140288	-0.956862559381319	Cluster6
Ccdc28b	-0.822622047808476	-0.520022709633407	-1.81932981821407	-1.68751561364073	Cluster6
Ccl3	-0.577032855120258	-2.1638747380766	-0.692735196715441	0.69541195274327	Cluster6
Ccl6	-1.24571181625249	1.79946138947346	-2.29015431378338	-1.04068572477986	Cluster6
Ccr5	-2.09084076476125	-0.848723757600178	-2.99802211206573	-0.766607722258172	Cluster6
Cd14	-2.304693878784	-0.289791863449846	-3.33895208549981	-1.77219827813988	Cluster6
Cd209e	2.20608051200374	-0.0237190183051334	-2.20361329150647	-2.38828102799064	Cluster6
Cd209f	0	0	-2.4203450463447	-3.05749447170005	Cluster6
Cd8b1	0	-0.187677083029752	-1.11464212055147	-1.73572198516471	Cluster6
Cdc42ep2	-1.91578679847709	-0.998333488158628	-0.870182154795677	0.77296101234704	Cluster6
Cdk18	-2.79099386364201	1.2373064302178	-2.39551653453728	-0.808209628456552	Cluster6
Cdk5rap3	-0.698896518327097	-0.640813544461461	-0.420908729023197	-1.06249764348309	Cluster6
Celf4	-0.59291676509129	-0.638045751978685	-1.027613067265	-1.67639133274974	Cluster6
Celsr1	-2.01596207862678	-3.65018427160507	-2.18807245229368	-2.1680528992901	Cluster6
Cep131	-1.10556380784409	-1.75118699333685	-1.7157104124597	-0.666159126220004	Cluster6
