Cluster	ID	Description	A	B	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio	gene_symbol
NCoR1_CpG	mmu04625	C-type lectin receptor signaling pathway	53	1273	112/8890	4.37171826682223e-17	1.39457812711629e-14	8.05316522835675e-15	16153/17164/19225/14127/23797/17246/16160/26420/216799/16706/53859/18035/12313/80796/20963/18708/18753/13655/19057/208650/26416/240354/18018/12675/16176/20779/18019/16159/18033/19055/12042/16476/18710/16193/19247/16438/381809/16439/19698/12051/66922/26417/16985/74256/69632/74769/17532/18707/20846/16150/83430/20847/26419	53	0.0416339355852317	Il10/Mapkapk2/Ptgs2/Fcer1g/Akt3/Mdm2/Il12b/Mapk9/Nlrp3/Ksr1/Map3k14/Nfkbia/Calm1/Calm4/Syk/Pik3r1/Prkcd/Egr3/Ppp3cc/Cblb/Mapk14/Malt1/Nfatc1/Chuk/Il1b/Src/Nfatc2/Il12a/Nfkb1/Ppp3ca/Bcl10/Jun/Pik3r3/Il6/Ptpn11/Itpr1/Clec4b2/Itpr2/Relb/Bcl3/Rras2/Mapk3/Lsp1/Cyld/Arhgef12/Pik3cb/Mras/Pik3cd/Stat1/Ikbkb/Il23a/Stat2/Mapk8/
NCoR1_CpG	mmu04380	Osteoclast differentiation	53	1273	128/8890	4.61093123229447e-14	7.35443531550968e-12	4.24691034553438e-12	12912/21934/14130/246256/14131/23797/15979/14360/16822/26420/53859/26399/14784/12702/18035/14281/20963/18708/19057/15976/26416/18018/12675/20375/16175/16176/18019/751864/12977/18033/19055/16476/16451/18710/21682/17969/17342/21937/18726/14282/19698/21803/14389/26417/74256/13057/74769/237038/18707/20846/16150/20847/26419	53	0.0416339355852317	Creb1/Tnfrsf11a/Fcgr2b/Fcgr4/Fcgr3/Akt3/Ifngr1/Fyn/Lcp2/Mapk9/Map3k14/Map2k6/Grb2/Socs3/Nfkbia/Fos/Syk/Pik3r1/Ppp3cc/Ifnar2/Mapk14/Nfatc1/Chuk/Spi1/Il1a/Il1b/Nfatc2/Gm9733/Csf1/Nfkb1/Ppp3ca/Jun/Jak1/Pik3r3/Tec/Ncf1/Mitf/Tnfrsf1a/Lilra6/Fosb/Relb/Tgfb1/Gab2/Mapk3/Cyld/Cyba/Pik3cb/Nox1/Pik3cd/Stat1/Ikbkb/Stat2/Mapk8/
NCoR1_CpG	mmu05152	Tuberculosis	64	1273	180/8890	5.23380903814697e-13	5.56528361056295e-11	3.21374239184463e-11	12912/16153/14130/246256/14131/14127/23797/15979/16414/11783/216238/12323/16160/26420/16706/11975/12313/80796/20963/19057/12265/11984/26416/14960/100504404/15526/240354/12015/16175/16176/20779/16159/24088/108058/18033/19055/12042/192656/21898/16451/16193/21897/21899/21871/108960/12122/21937/21803/12611/26417/16409/16411/16985/257632/117149/69632/16173/16784/16149/16452/20846/83430/26419/328572	64	0.0502749410840534	Creb1/Il10/Fcgr2b/Fcgr4/Fcgr3/Fcer1g/Akt3/Ifngr1/Itgb2/Apaf1/Eea1/Camk2b/Il12b/Mapk9/Ksr1/Atp6v0a1/Calm1/Calm4/Syk/Ppp3cc/Ciita/Atp6v0c/Mapk14/H2-Aa/H2-Ea-ps/Hspa9/Malt1/Bad/Il1a/Il1b/Src/Il12a/Tlr2/Camk2d/Nfkb1/Ppp3ca/Bcl10/Ripk2/Tlr4/Jak1/Il6/Tlr1/Tlr6/Atp6v0a2/Irak2/Bid/Tnfrsf1a/Tgfb1/Cebpg/Mapk3/Itgam/Itgax/Lsp1/Nod2/Tirap/Arhgef12/Il18/Lamp2/Cd74/Jak2/Stat1/Il23a/Mapk8/Ep300/
NCoR1_CpG	mmu05135	Yersinia infection	52	1273	134/8890	1.71037325670897e-12	1.3640226722254e-10	7.87671894537024e-11	76709/74117/16153/23797/56480/66713/16822/26420/216799/20296/26399/18035/14281/140580/18708/19229/23880/16402/26416/22324/19877/18018/12675/22325/215280/16176/20779/18019/57257/18033/21898/16476/18710/242687/20111/12540/16193/19303/56378/11461/54353/16801/26417/12927/69632/16173/74769/54483/18707/16150/26431/26419	52	0.0408483896307934	Arpc2/Actr3/Il10/Akt3/Tbk1/Actr2/Lcp2/Mapk9/Nlrp3/Ccl2/Map2k6/Nfkbia/Fos/Elmo1/Pik3r1/Ptk2b/Fyb/Itga5/Mapk14/Vav1/Rock1/Nfatc1/Chuk/Vav2/Wipf1/Il1b/Src/Nfatc2/Vav3/Nfkb1/Tlr4/Jun/Pik3r3/Wasf2/Rps6ka1/Cdc42/Il6/Pxn/Arpc3/Actb/Skap2/Arhgef1/Mapk3/Bcar1/Arhgef12/Il18/Pik3cb/Mefv/Pik3cd/Ikbkb/Git2/Mapk8/
NCoR1_CpG	mmu04660	T cell receptor signaling pathway	43	1273	103/8890	8.40876920255542e-12	5.36479475123036e-10	3.09796760094147e-10	17974/12477/16153/19264/23797/14360/16822/26420/53859/14784/18035/14281/18708/19057/208650/18607/26416/18037/22324/26410/240354/18018/12675/18761/22325/18019/57257/18033/19055/12042/16476/18710/12540/21682/108723/15170/26417/12500/74769/18707/16150/16191/26419	43	0.0337784760408484	Nck2/Ctla4/Il10/Ptprc/Akt3/Fyn/Lcp2/Mapk9/Map3k14/Grb2/Nfkbia/Fos/Pik3r1/Ppp3cc/Cblb/Pdpk1/Mapk14/Nfkbie/Vav1/Map3k8/Malt1/Nfatc1/Chuk/Prkcq/Vav2/Nfatc2/Vav3/Nfkb1/Ppp3ca/Bcl10/Jun/Pik3r3/Cdc42/Tec/Card11/Ptpn6/Mapk3/Cd3d/Pik3cb/Pik3cd/Ikbkb/Il5/Mapk8/
NCoR1_CpG	mmu04620	Toll-like receptor signaling pathway	42	1273	100/8890	1.16107401052312e-11	6.17304348928127e-10	3.56470090950082e-10	23797/53791/56480/16160/26420/20304/20302/20303/26399/18035/14281/22031/18708/12524/12519/15976/26416/26410/225471/12675/16176/21939/16159/24088/18033/21898/16476/18710/16193/21897/21899/17329/15945/26417/54123/117149/74769/18707/20750/20846/16150/26419	42	0.0329929300864101	Akt3/Tlr5/Tbk1/Il12b/Mapk9/Ccl5/Ccl3/Ccl4/Map2k6/Nfkbia/Fos/Traf3/Pik3r1/Cd86/Cd80/Ifnar2/Mapk14/Map3k8/Ticam2/Chuk/Il1b/Cd40/Il12a/Tlr2/Nfkb1/Tlr4/Jun/Pik3r3/Il6/Tlr1/Tlr6/Cxcl9/Cxcl10/Mapk3/Irf7/Tirap/Pik3cb/Pik3cd/Spp1/Stat1/Ikbkb/Mapk8/
NCoR1_CpG	mmu05205	Proteoglycans in cancer	66	1273	205/8890	3.85903721709577e-11	1.63210981236752e-09	9.42482155302149e-10	22409/14103/23797/17931/17246/12323/16160/20848/14784/18708/16398/18792/16402/16419/21844/22350/18607/26416/22339/22324/19877/15200/14102/74055/18569/22325/16410/12505/20779/17395/24088/57257/108058/21898/18710/12540/15234/16542/19303/19247/11461/17295/16438/15170/16439/16801/21803/29875/22411/66922/18751/26417/13043/12443/69632/12402/74769/17532/12387/192176/15163/17698/18707/11735/11733/15251	66	0.0518460329929301	Wnt10a/Fasl/Akt3/Ppp1r12a/Mdm2/Camk2b/Il12b/Stat3/Grb2/Pik3r1/Itga2/Plau/Itga5/Itgb5/Tiam1/Ezr/Pdpk1/Mapk14/Vegfa/Vav1/Rock1/Hbegf/Fas/Plce1/Pdcd4/Vav2/Itgav/Cd44/Src/Mmp9/Tlr2/Vav3/Camk2d/Tlr4/Pik3r3/Cdc42/Hgf/Kdr/Pxn/Ptpn11/Actb/Met/Itpr1/Ptpn6/Itpr2/Arhgef1/Tgfb1/Iqgap1/Wnt11/Rras2/Prkcb/Mapk3/Cttn/Ccnd1/Arhgef12/Cbl/Pik3cb/Mras/Ctnnb1/Flna/Hcls1/Msn/Pik3cd/Ank3/Ank1/Hif1a/
NCoR1_CpG	mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	38	1273	88/8890	4.09306536016933e-11	1.63210981236752e-09	9.42482155302149e-10	23797/381319/15979/20848/26406/26399/18035/14281/53314/18708/19057/26416/18037/225471/18018/60533/19211/12675/18761/18019/24088/18033/19055/21898/16476/16451/18710/19247/15170/26417/117149/12500/74769/16452/18707/20846/16150/15251	38	0.0298507462686567	Akt3/Batf3/Ifngr1/Stat3/Map3k3/Map2k6/Nfkbia/Fos/Batf/Pik3r1/Ppp3cc/Mapk14/Nfkbie/Ticam2/Nfatc1/Cd274/Pten/Chuk/Prkcq/Nfatc2/Tlr2/Nfkb1/Ppp3ca/Tlr4/Jun/Jak1/Pik3r3/Ptpn11/Ptpn6/Mapk3/Tirap/Cd3d/Pik3cb/Jak2/Pik3cd/Stat1/Ikbkb/Hif1a/
NCoR1_CpG	mmu04662	B cell receptor signaling pathway	36	1273	81/8890	4.87646073345943e-11	1.72843441552618e-09	9.98105998076492e-10	16331/14130/23797/14784/18035/14281/20963/18708/19057/18037/22324/240354/18018/83490/12675/22325/18019/57257/18033/19055/26377/12042/17096/12517/16476/18710/108723/15170/18726/18751/26417/74769/12520/18707/68713/16150	36	0.02827965435978	Inpp5d/Fcgr2b/Akt3/Grb2/Nfkbia/Fos/Syk/Pik3r1/Ppp3cc/Nfkbie/Vav1/Malt1/Nfatc1/Pik3ap1/Chuk/Vav2/Nfatc2/Vav3/Nfkb1/Ppp3ca/Dapp1/Bcl10/Lyn/Cd72/Jun/Pik3r3/Card11/Ptpn6/Lilra6/Prkcb/Mapk3/Pik3cb/Cd81/Pik3cd/Ifitm1/Ikbkb/
NCoR1_CpG	mmu04668	TNF signaling pathway	44	1273	113/8890	7.81838945171443e-11	2.4940662350969e-09	1.44022963584213e-09	16182/12633/12912/19225/23797/22033/21929/26408/26420/20296/20304/53859/26399/12702/18035/14281/22031/13614/18708/26416/26410/14102/12675/22029/69601/16176/16396/17395/12977/18033/16476/18710/16193/15945/21937/12051/26417/16168/257632/15894/74769/18707/16150/26419	44	0.0345640219952867	Il18r1/Cflar/Creb1/Ptgs2/Akt3/Traf5/Tnfaip3/Map3k5/Mapk9/Ccl2/Ccl5/Map3k14/Map2k6/Socs3/Nfkbia/Fos/Traf3/Edn1/Pik3r1/Mapk14/Map3k8/Fas/Chuk/Traf1/Dab2ip/Il1b/Itch/Mmp9/Csf1/Nfkb1/Jun/Pik3r3/Il6/Cxcl10/Tnfrsf1a/Bcl3/Mapk3/Il15/Nod2/Icam1/Pik3cb/Pik3cd/Ikbkb/Mapk8/
