Crtl_0h	Ctrl_CpG_2h	Ctrl_CpG_6h	SMRT_0h	SMRT_CpG_2h	SMRT_CpG_6h	Emp_Uns	Emp_CpG_6h	NCoR1_Uns	NCoR1_CpG_6h
Xkr4	0	0	0	0	0	0	0	0	0	0
Rp1	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0
Mrpl15	9.86252996816905	9.84977087530861	10.0020522790221	9.80195113004497	9.87485751745146	10.1535730438938	10.1764747266203	10.2675649766458	10.2488312547271	10.1808308294445
Lypla1	10.6917185146588	10.7138375094952	10.5129074965563	10.6575845519743	10.5270035617037	10.4782960789726	10.6128028006386	10.3460949160614	10.5932496242354	10.3622877416324
Tcea1	11.3592372639997	11.3268086176383	11.2228151836663	11.4273032437295	11.3510598915544	11.3938991217485	11.2548175197474	11.0546008572937	11.330129638717	11.2205558080031
Rgs20	-1.87995309012863	-1.87250712777916	-1.8492708766081	-1.87846750459906	-1.84950135605115	-1.87367220420048	-1.86549454991158	-1.88303659470124	-1.8905626369038	-1.85771064059372
Atp6v1h	10.7993748809121	10.8432375779744	11.0248840586212	10.7119449127193	10.8418247679933	10.9417275703086	10.631826485669	10.9860211407163	11.1393306149027	10.8912904110358
Oprk1	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0
Rb1cc1	9.66024656327398	9.49562568559281	9.64993793113429	9.73262184543308	9.65436299460466	9.50069280755287	9.38704142756696	9.3422037344926	9.79384507504565	9.78928596064348
Fam150a	0	0	0	0	0	0	0	0	0	0
St18	1.31798080525727	1.54910015041334	2.06056750540165	1.40414302800969	1.58511390660552	2.17488682177384	1.27898084097788	1.66809769787942	1.68414704748986	3.27062331661901
Pcmtd1	8.47851696742951	7.87996998552815	7.85281940166439	8.82641904585391	8.37248456463641	8.32020288754543	8.36896278733598	7.49288014892395	8.40649771733015	7.73465569018706
Sntg1	-1.65261833695387	-1.64479010609434	-1.64621939200024	-1.62519801914624	-1.64646170403513	-1.64601499641301	-1.66064960242972	-1.65586014567084	-1.54723976142054	-1.65509244531135
