seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	Clusters
chr1	35810746	35810871	126	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-257529	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	SMRT CpG 6hr
chr1	35813257	35813382	126	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-255018	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	SMRT CpG 6hr
chr1	35860939	35861064	126	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-207336	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	SMRT CpG 6hr
chr1	36052738	36052863	126	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-15537	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	SMRT CpG 6hr
chr1	36053046	36053171	126	*	Distal Intergenic	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	-15229	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	SMRT CpG 6hr
chr1	36073216	36073341	126	*	Intron (ENSMUST00000088174.3/50785, intron 1 of 1)	1	36068400	36106446	38047	1	50785	ENSMUST00000088174.3	4816	ENSMUSG00000045216	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	SMRT CpG 6hr
chr1	36296766	36296891	126	*	Distal Intergenic	1	36307733	36319203	11471	1	214855	ENSMUST00000126413.7	-10842	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	SMRT CpG 6hr
chr1	36308121	36308246	126	*	Promoter	1	36307779	36316578	8800	1	214855	ENSMUST00000140218.1	342	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	SMRT CpG 6hr
chr1	36325945	36326070	126	*	Distal Intergenic	1	36317027	36318132	1106	1	214855	ENSMUST00000141121.1	8918	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	SMRT CpG 6hr
chr1	74373471	74373596	126	*	Distal Intergenic	1	74375195	74385755	10561	1	18173	ENSMUST00000187516.6	-1599	ENSMUSG00000026177	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	SMRT CpG 6hr
