seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	Clusters
chr1	36308195	36308336	142	*	Promoter	1	36307779	36316578	8800	1	214855	ENSMUST00000140218.1	416	ENSMUSG00000037447	Arid5a	AT rich interactive domain 5A (MRF1-like)	SMRT Uns
chr1	37605843	37605984	142	*	Distal Intergenic	1	37611677	37625242	13566	2	72097	ENSMUST00000160023.5	19258	ENSMUSG00000026090	2010300C02Rik	RIKEN cDNA 2010300C02 gene	SMRT Uns
chr1	37610339	37610480	142	*	Downstream (1-2kb)	1	37611677	37625242	13566	2	72097	ENSMUST00000160023.5	14762	ENSMUSG00000026090	2010300C02Rik	RIKEN cDNA 2010300C02 gene	SMRT Uns
chr1	43264573	43264714	142	*	Intron (ENSMUST00000189899.1/ENSMUST00000189899.1, intron 2 of 5)	1	43123290	43196984	73695	2	14200	ENSMUST00000185893.1	-67589	ENSMUSG00000008136	Fhl2	four and a half LIM domains 2	SMRT Uns
chr1	51476463	51476604	142	*	Exon (ENSMUST00000188303.1/ENSMUST00000188303.1, exon 1 of 1)	1	51466007	51478067	12061	2	109019	ENSMUST00000186003.6	1463	ENSMUSG00000026107	Nabp1	nucleic acid binding protein 1	SMRT Uns
chr1	51478296	51478437	142	*	Promoter	1	51465862	51478399	12538	2	109019	ENSMUST00000189542.6	0	ENSMUSG00000026107	Nabp1	nucleic acid binding protein 1	SMRT Uns
chr1	51480490	51480631	142	*	Distal Intergenic	1	51471129	51478425	7297	2	109019	ENSMUST00000188051.6	-2065	ENSMUSG00000026107	Nabp1	nucleic acid binding protein 1	SMRT Uns
chr1	51494037	51494178	142	*	Distal Intergenic	1	51471129	51478425	7297	2	109019	ENSMUST00000188051.6	-15612	ENSMUSG00000026107	Nabp1	nucleic acid binding protein 1	SMRT Uns
chr1	52801785	52801926	142	*	Intron (ENSMUST00000027271.8/16329, intron 1 of 5)	1	52797066	52800371	3306	2	16329	ENSMUST00000159725.1	-1414	ENSMUSG00000026102	Inpp1	inositol polyphosphate-1-phosphatase	SMRT Uns
chr1	58713098	58713239	142	*	Promoter	1	58713294	58733227	19934	1	12633	ENSMUST00000114309.7	-55	ENSMUSG00000026031	Cflar	CASP8 and FADD-like apoptosis regulator	SMRT Uns
chr1	61001807	61001948	142	*	Distal Intergenic	1	60977927	61000320	22394	1	54167	ENSMUST00000102827.3	23880	ENSMUSG00000026009	Icos	inducible T cell co-stimulator	SMRT Uns
chr1	61146349	61146490	142	*	Distal Intergenic	1	60977927	61000320	22394	1	54167	ENSMUST00000102827.3	168422	ENSMUSG00000026009	Icos	inducible T cell co-stimulator	SMRT Uns
chr1	61154697	61154838	142	*	Distal Intergenic	1	60977927	61000320	22394	1	54167	ENSMUST00000102827.3	176770	ENSMUSG00000026009	Icos	inducible T cell co-stimulator	SMRT Uns
chr1	62722357	62722498	142	*	Intron (ENSMUST00000126344.1/18187, intron 2 of 2)	1	62703702	62818695	114994	1	18187	ENSMUST00000114157.2	18655	ENSMUSG00000025969	Nrp2	neuropilin 2	SMRT Uns
chr1	62770795	62770936	142	*	Intron (ENSMUST00000075144.11/18187, intron 11 of 15)	1	62703702	62818695	114994	1	18187	ENSMUST00000114157.2	67093	ENSMUSG00000025969	Nrp2	neuropilin 2	SMRT Uns
chr1	63414244	63414385	142	*	Distal Intergenic	1	63445891	63573217	127327	1	23792	ENSMUST00000182642.7	-31506	ENSMUSG00000025964	Adam23	a disintegrin and metallopeptidase domain 23	SMRT Uns
chr1	63427962	63428103	142	*	Distal Intergenic	1	63445891	63573217	127327	1	23792	ENSMUST00000182642.7	-17788	ENSMUSG00000025964	Adam23	a disintegrin and metallopeptidase domain 23	SMRT Uns
chr1	63437592	63437733	142	*	Distal Intergenic	1	63445891	63573217	127327	1	23792	ENSMUST00000182642.7	-8158	ENSMUSG00000025964	Adam23	a disintegrin and metallopeptidase domain 23	SMRT Uns
chr1	63519275	63519416	142	*	Intron (ENSMUST00000182642.7/23792, intron 4 of 23)	1	63494169	63596276	102108	1	23792	ENSMUST00000097717.8	25106	ENSMUSG00000025964	Adam23	a disintegrin and metallopeptidase domain 23	SMRT Uns
chr1	64121806	64121947	142	*	Promoter	1	64029447	64121491	92045	2	93691	ENSMUST00000114086.7	-315	ENSMUSG00000025959	Klf7	Kruppel-like factor 7 (ubiquitous)	SMRT Uns
chr1	64295336	64295477	142	*	Intron (ENSMUST00000190863.1/ENSMUST00000190863.1, intron 1 of 1)	1	64079103	64122282	43180	2	93691	ENSMUST00000135075.1	-173054	ENSMUSG00000025959	Klf7	Kruppel-like factor 7 (ubiquitous)	SMRT Uns
chr1	64301163	64301304	142	*	Intron (ENSMUST00000190863.1/ENSMUST00000190863.1, intron 1 of 1)	1	64079103	64122282	43180	2	93691	ENSMUST00000135075.1	-178881	ENSMUSG00000025959	Klf7	Kruppel-like factor 7 (ubiquitous)	SMRT Uns
chr1	64301643	64301784	142	*	Intron (ENSMUST00000190863.1/ENSMUST00000190863.1, intron 1 of 1)	1	64079103	64122282	43180	2	93691	ENSMUST00000135075.1	-179361	ENSMUSG00000025959	Klf7	Kruppel-like factor 7 (ubiquitous)	SMRT Uns
