seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	Clusters
chr1	21031852	21032019	168	*	Intron (ENSMUST00000037998.5/170829, intron 2 of 10)	1	21004313	21043656	39344	2	170829	ENSMUST00000187210.1	11637	ENSMUSG00000041779	Tram2	translocating chain-associating membrane protein 2	NCoR1 Uns
chr1	21035936	21036103	168	*	Intron (ENSMUST00000037998.5/170829, intron 2 of 10)	1	21004313	21043656	39344	2	170829	ENSMUST00000187210.1	7553	ENSMUSG00000041779	Tram2	translocating chain-associating membrane protein 2	NCoR1 Uns
chr1	21040641	21040808	168	*	Intron (ENSMUST00000037998.5/170829, intron 1 of 10)	1	21004313	21043656	39344	2	170829	ENSMUST00000187210.1	2848	ENSMUSG00000041779	Tram2	translocating chain-associating membrane protein 2	NCoR1 Uns
chr1	21103623	21103790	168	*	Distal Intergenic	1	20996299	21079229	82931	2	170829	ENSMUST00000037998.5	-24394	ENSMUSG00000041779	Tram2	translocating chain-associating membrane protein 2	NCoR1 Uns
chr1	40381464	40381631	168	*	Distal Intergenic	1	40429570	40446723	17154	1	17082	ENSMUST00000174335.7	-47939	ENSMUSG00000026069	Il1rl1	interleukin 1 receptor-like 1	NCoR1 Uns
chr1	40411259	40411426	168	*	Distal Intergenic	1	40429570	40446723	17154	1	17082	ENSMUST00000174335.7	-18144	ENSMUSG00000026069	Il1rl1	interleukin 1 receptor-like 1	NCoR1 Uns
chr1	40413819	40413986	168	*	Distal Intergenic	1	40429570	40446723	17154	1	17082	ENSMUST00000174335.7	-15584	ENSMUSG00000026069	Il1rl1	interleukin 1 receptor-like 1	NCoR1 Uns
chr1	40658985	40659152	168	*	Distal Intergenic	1	40680574	40769273	88700	1	226999	ENSMUST00000027231.12	-21422	ENSMUSG00000026062	Slc9a2	solute carrier family 9 (sodium/hydrogen exchanger), member 2	NCoR1 Uns
chr1	40705122	40705289	168	*	Intron (ENSMUST00000027231.12/226999, intron 1 of 11)	1	40681597	40727681	46085	1	226999	ENSMUST00000192345.1	23525	ENSMUSG00000026062	Slc9a2	solute carrier family 9 (sodium/hydrogen exchanger), member 2	NCoR1 Uns
chr1	43321499	43321666	168	*	Distal Intergenic	1	43444579	43533632	89054	1	17974	ENSMUST00000187435.6	-122913	ENSMUSG00000066877	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	NCoR1 Uns
chr1	43327244	43327411	168	*	Distal Intergenic	1	43444579	43533632	89054	1	17974	ENSMUST00000187435.6	-117168	ENSMUSG00000066877	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	NCoR1 Uns
chr1	43358999	43359166	168	*	Distal Intergenic	1	43444579	43533632	89054	1	17974	ENSMUST00000187435.6	-85413	ENSMUSG00000066877	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	NCoR1 Uns
chr1	43474179	43474346	168	*	Intron (ENSMUST00000187435.6/17974, intron 1 of 2)	1	43445751	43570515	124765	1	17974	ENSMUST00000086421.8	28428	ENSMUSG00000066877	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	NCoR1 Uns
chr1	59469644	59469811	168	*	Distal Intergenic	1	59482424	59486955	4532	1	14369	ENSMUST00000114246.3	-12613	ENSMUSG00000041075	Fzd7	frizzled class receptor 7	NCoR1 Uns
chr1	59481670	59481837	168	*	Promoter	1	59482424	59486955	4532	1	14369	ENSMUST00000114246.3	-587	ENSMUSG00000041075	Fzd7	frizzled class receptor 7	NCoR1 Uns
chr1	59482106	59482273	168	*	Promoter	1	59482424	59486955	4532	1	14369	ENSMUST00000114246.3	-151	ENSMUSG00000041075	Fzd7	frizzled class receptor 7	NCoR1 Uns
chr1	60888154	60888321	168	*	Intron (ENSMUST00000124816.1/12477, intron 1 of 3)	1	60887000	60912716	25717	1	12477	ENSMUST00000124816.1	1154	ENSMUSG00000026011	Ctla4	cytotoxic T-lymphocyte-associated protein 4	NCoR1 Uns
chr1	60913097	60913264	168	*	Exon (ENSMUST00000027164.8/12477, exon 3 of 4)	1	60909171	60914769	5599	1	12477	ENSMUST00000097720.3	3926	ENSMUSG00000026011	Ctla4	cytotoxic T-lymphocyte-associated protein 4	NCoR1 Uns
chr1	60916221	60916388	168	*	Distal Intergenic	1	60909171	60914769	5599	1	12477	ENSMUST00000097720.3	7050	ENSMUSG00000026011	Ctla4	cytotoxic T-lymphocyte-associated protein 4	NCoR1 Uns
chr1	60937509	60937676	168	*	Distal Intergenic	1	60909171	60914769	5599	1	12477	ENSMUST00000097720.3	28338	ENSMUSG00000026011	Ctla4	cytotoxic T-lymphocyte-associated protein 4	NCoR1 Uns
chr1	60941410	60941577	168	*	Distal Intergenic	1	60909171	60914769	5599	1	12477	ENSMUST00000097720.3	32239	ENSMUSG00000026011	Ctla4	cytotoxic T-lymphocyte-associated protein 4	NCoR1 Uns
chr1	62721443	62721610	168	*	Intron (ENSMUST00000126344.1/18187, intron 2 of 2)	1	62703702	62818695	114994	1	18187	ENSMUST00000114157.2	17741	ENSMUSG00000025969	Nrp2	neuropilin 2	NCoR1 Uns
chr1	62722361	62722528	168	*	Intron (ENSMUST00000126344.1/18187, intron 2 of 2)	1	62703702	62818695	114994	1	18187	ENSMUST00000114157.2	18659	ENSMUSG00000025969	Nrp2	neuropilin 2	NCoR1 Uns
chr1	62751079	62751246	168	*	Intron (ENSMUST00000075144.11/18187, intron 7 of 15)	1	62703702	62818695	114994	1	18187	ENSMUST00000114157.2	47377	ENSMUSG00000025969	Nrp2	neuropilin 2	NCoR1 Uns
chr1	63408418	63408585	168	*	Distal Intergenic	1	63445891	63573217	127327	1	23792	ENSMUST00000182642.7	-37306	ENSMUSG00000025964	Adam23	a disintegrin and metallopeptidase domain 23	NCoR1 Uns
chr1	63427889	63428056	168	*	Distal Intergenic	1	63445891	63573217	127327	1	23792	ENSMUST00000182642.7	-17835	ENSMUSG00000025964	Adam23	a disintegrin and metallopeptidase domain 23	NCoR1 Uns
chr1	63437740	63437907	168	*	Distal Intergenic	1	63445891	63573217	127327	1	23792	ENSMUST00000182642.7	-7984	ENSMUSG00000025964	Adam23	a disintegrin and metallopeptidase domain 23	NCoR1 Uns
